Date,Observed NO3,Simulated NO3 - Calibrated
Jan-85,1430967.805,899200
Feb-85,5294835.143,4756000
Mar-85,2591074.203,1681000
Apr-85,1183980.495,363600
May-85,1377917.428,752100
Jun-85,576247.5119,130200
Jul-85,1210920.031,281500
Aug-85,1099922.795,1312000
Sep-85,425347.5822,419900
Oct-85,612331.6711,385800
Nov-85,781041.4396,383300
Dec-85,1542486.369,706100
Jan-86,1053811.9,1123000
Feb-86,2088155.918,1590000
Mar-86,3644483.46,1403000
Apr-86,692081.2369,364400
May-86,584495.4643,164800
Jun-86,500140.4443,84560
Jul-86,388112.969,122300
Aug-86,327276.1182,154800
Sep-86,224702.9688,339500
Oct-86,225291.5322,407700
Nov-86,1786669.516,1410000
Dec-86,2974033.512,2473000
Jan-87,4668376.562,4169000
Feb-87,5145852.798,4317000
Mar-87,6404953.824,4792000
Apr-87,2195865.375,1666000
May-87,1031117.876,420200
Jun-87,1006443.13,246900
Jul-87,835629.8821,330200
Aug-87,398420.5965,125100
Sep-87,300558.2829,101000
Oct-87,289828.3297,75150
Nov-87,313011.8332,189800
Dec-87,721797.5549,444400
Jan-88,2986942.737,2227000
Feb-88,2615804.897,1675000
Mar-88,1390572.689,885800
Apr-88,1178290.177,1678000
May-88,554984.2036,509700
Jun-88,402171.3505,57160
Jul-88,415922.979,196100
Aug-88,270006.478,130300
Sep-88,1081023.038,1184000
Oct-88,583116.384,455200
Nov-88,1609404.947,881600
Dec-88,1154747.403,631600
Jan-89,4229816.378,4174000
Feb-89,2110658.866,2142000
Mar-89,6216547.068,4210000
Apr-89,4483148.291,6578000
May-89,1340502.208,1354000
Jun-89,3727139.877,5084000
Jul-89,3651174.722,5110000
Aug-89,758175.8164,652200
Sep-89,694599.3584,368900
Oct-89,1882736.412,1215000
Nov-89,2098735.654,1107000
Dec-89,4145115.574,1702000
Jan-90,7424698.023,8411000
Feb-90,10056026.89,9508000
Mar-90,12030403.24,6536000
Apr-90,2918607.305,2110000
May-90,1687745.372,1212000
Jun-90,652961.7184,256100
Jul-90,594158.4591,192100
Aug-90,411449.1054,94380
Sep-90,280829.8856,206200
Oct-90,417497.4071,318400
Nov-90,557966.9237,262600
Dec-90,1399848.061,877000
Jan-91,2212099.278,2448000
Feb-91,3816273.313,2913000
Mar-91,4123872.62,3237000
Apr-91,3183748.1,3129000
May-91,4827969.805,10890000
Jun-91,1658193.563,1121000
Jul-91,1160427.156,738200
Aug-91,604931.1531,368300
Sep-91,545041.3444,375800
Oct-91,429740.3403,218400
Nov-91,1094200.659,553200
Dec-91,1926458.238,1053000
Jan-92,4421919.547,3912000
Feb-92,4775798.539,3554000
Mar-92,4401433.365,2932000
Apr-92,1643965.309,1388000
May-92,600502.0248,447900
Jun-92,983784.9836,288500
Jul-92,578904.7054,260900
Aug-92,834072.2032,1060000
Sep-92,881329.9708,1391000
Oct-92,570534.3446,563900
Nov-92,4103126.657,2220000
Dec-92,6024653.152,3595000
Jan-93,7375023.705,8198000
Feb-93,4170736.976,3553000
Mar-93,4940816.828,3613000
Apr-93,3040999.194,1826000
May-93,1261693.27,924300
Jun-93,531807.8152,230500
Jul-93,468227.1276,122700
Aug-93,436273.6003,209700
Sep-93,311506.2985,171100
Oct-93,288135.1585,166700
Nov-93,878806.6233,731300
