Date,Observed PO4,Simulated PO4 - Calibrated
Jan-82,312996.7083,211100
Feb-82,376425.6563,380800
Mar-82,215967.1054,97690
Apr-82,181971.8551,164500
May-82,123055.6391,76470
Jun-82,58460.94073,14920
Jul-82,57045.74647,9447
Aug-82,56830.56493,10800
Sep-82,32177.38208,3522
Oct-82,58739.86276,12310
Nov-82,89948.61514,12800
Dec-82,404786.3141,198200
Jan-83,263295.6875,140200
Feb-83,344257.9937,304200
Mar-83,326655.5975,320000
Apr-83,353687.4402,576600
May-83,168525.4651,122900
Jun-83,89969.96844,16870
Jul-83,59745.00526,5250
Aug-83,42142.14325,3714
Sep-83,61214.92827,12900
Oct-83,52597.50103,4818
Nov-83,167637.0897,46890
Dec-83,482794.5936,265000
Jan-84,386620.3269,177700
Feb-84,207649.9056,66950
Mar-84,252644.8649,105300
Apr-84,199819.7343,139100
May-84,184582.5068,293000
Jun-84,55413.76246,6550
Jul-84,60409.1858,16330
Aug-84,169477.445,127600
Sep-84,54885.15102,5404
Oct-84,62808.91939,7799
Nov-84,86055.41162,5718
Dec-84,167339.8789,19140
Jan-85,99384.3839,11990
Feb-85,272623.2757,210100
Mar-85,132874.4069,47900
Apr-85,64246.89637,7672
May-85,69895.79703,22880
Jun-85,34436.06549,5578
Jul-85,68888.22358,26560
Aug-85,77740.04552,40880
Sep-85,43816.50624,5858
Oct-85,67002.30545,13330
Nov-85,79641.43065,6617
Dec-85,124302.4398,29030
Jan-86,74339.7662,34920
Feb-86,116863.862,130400
Mar-86,169553.1869,293100
Apr-86,41264.32536,43560
May-86,35667.0538,10240
Jun-86,31418.10825,4487
Jul-86,28203.22494,6673
Aug-86,30192.79532,9331
Sep-86,26586.49133,12890
Oct-86,28338.18321,20940
Nov-86,150587.15,123700
Dec-86,226449.8462,222100
Jan-87,267372.7419,341200
Feb-87,269262.4369,320300
Mar-87,301701.6367,503400
Apr-87,110387.4942,113400
May-87,59310.97989,8143
Jun-87,58642.90905,11790
Jul-87,53883.65688,12550
Aug-87,37106.38722,5134
Sep-87,34935.31139,4543
Oct-87,35424.12753,2221
Nov-87,34258.13299,5907
Dec-87,61547.30337,7682
Jan-88,184449.5032,78520
Feb-88,148858.3179,55850
Mar-88,78468.06505,10890
Apr-88,66372.59152,33430
May-88,35474.29764,5510
Jun-88,28572.97439,1385
Jul-88,33360.75089,13750
Aug-88,28893.81307,7358
Sep-88,109044.7542,67310
Oct-88,66190.81882,17150
Nov-88,148412.1656,36170
Dec-88,95269.64911,16970
Jan-89,267315.2845,162200
Feb-89,120489.3834,92390
Mar-89,306717.8832,352100
Apr-89,216278.8415,271600
May-89,78209.13349,37820
Jun-89,208493.9567,238600
Jul-89,225258.6698,185000
Aug-89,69106.02469,11000
Sep-89,77015.08238,33530
Oct-89,198566.8672,221700
Nov-89,191846.3634,60140
Dec-89,309701.469,76590
Jan-90,449302.9262,445600
Feb-90,516407.2928,674600
Mar-90,551165.4112,521200
Apr-90,153294.7172,25730
May-90,98379.21151,21540
Jun-90,46751.93913,5964
Jul-90,50822.88575,13290
Aug-90,45641.19601,3870
Sep-90,37574.79453,9507
Oct-90,50686.82181,15830
Nov-90,57096.16746,9198
Dec-90,110022.9432,46200
Jan-91,146479.5191,137600
Feb-91,212387.455,452100
Mar-91,217616.1686,484500
Apr-91,166958.1641,211200
May-91,262109.1089,273600
Jun-91,112007.5972,37360
Jul-91,93746.83756,31310
Aug-91,67265.28909,12520
Sep-91,67460.70546,18040
Oct-91,52685.79393,5200
Nov-91,102146.4654,24650
Dec-91,150476.2254,45240
Jan-92,284033.9513,335600
Feb-92,267048.9659,541300
Mar-92,232389.6673,309800
Apr-92,93059.38226,46090
May-92,42572.43101,5617
Jun-92,74579.72688,15360
Jul-92,58600.53985,16390
Aug-92,91909.70005,41340
Sep-92,102066.8566,64690
Oct-92,66650.71717,16950
Nov-92,351485.3795,184400
Dec-92,434187.2749,230700
Jan-93,465447.185,383000
Feb-93,232219.7802,88420
Mar-93,254376.5403,129600
Apr-93,161739.7021,84310
May-93,82478.78396,18580
Jun-93,48165.07362,7385
Jul-93,53108.78341,5559
Aug-93,57034.78544,12760
Sep-93,44073.65428,6209
Oct-93,37440.41036,4855
Nov-93,81020.89551,22120
Dec-93,107412.6967,24560
Jan-94,152861.1369,95950
Feb-94,239640.1966,201000
Mar-94,244208.6251,292500
Apr-94,227187.4486,429800
May-94,62153.99576,23080
Jun-94,58075.98141,16030
Jul-94,208440.1464,130500
Aug-94,101548.8411,53010
Sep-94,88471.39625,30370
Oct-94,138524.0553,56150
Nov-94,91060.75781,11880
Dec-94,251676.1641,107900
Jan-95,174144.3403,108300
Feb-95,262208.8715,311200
Mar-95,303616.7496,299000
Apr-95,81229.85393,25730
May-95,51924.19289,7726
