Date,Observed TSS,Simulated TSS - Calibrated 
Jan-82,293756.2636,226000
Feb-82,517020.837,3730000
Mar-82,178577.0577,52700
Apr-82,268626.4425,112000
May-82,162253.0322,15400
Jun-82,47456.84913,3910
Jul-82,37816.92708,2090
Aug-82,29684.97909,4420
Sep-82,8725.602488,437
Oct-82,19913.52538,1740
Nov-82,30963.74328,5540
Dec-82,579954.6549,224000
Jan-83,221055.3677,150000
Feb-83,494708.301,551000
Mar-83,415281.5696,661000
Apr-83,873988.3208,858000
May-83,351534.2118,33200
Jun-83,101530.6902,5570
Jul-83,44267.92883,1760
Aug-83,17380.53708,532
Sep-83,32561.23414,2330
Oct-83,14156.22209,773
Nov-83,252187.1477,47800
Dec-83,1054482.588,170000
Jan-84,493543.3338,90300
Feb-84,138022.9151,65500
Mar-84,283955.8548,178000
Apr-84,267233.7771,93500
May-84,391593.8432,28500
Jun-84,42985.07157,657
Jul-84,38176.26347,1410
Aug-84,556420.01,24900
Sep-84,21532.66617,573
Oct-84,21916.12208,3330
Nov-84,31564.61231,6780
Dec-84,176464.8377,30100
Jan-85,26181.9891,10900
Feb-85,371937.2641,231000
Mar-85,100582.8675,53100
Apr-85,29899.21263,1900
May-85,53451.44188,2500
Jun-85,18219.25048,546
Jul-85,74311.71629,3860
Aug-85,58606.76263,4230
Sep-85,14137.12872,1060
Oct-85,23958.69573,9120
Nov-85,24899.28854,19200
Dec-85,61704.53701,59700
Jan-86,19852.76605,61900
Feb-86,58401.90201,117000
Mar-86,319786.6506,193000
Apr-86,14622.88695,1250
May-86,16194.81581,2530
Jun-86,14935.34455,496
Jul-86,11713.36548,653
Aug-86,10390.37394,783
Sep-86,7429.544978,2330
Oct-86,6698.063197,57300
Nov-86,246093.3779,262000
Dec-86,249222.7741,173000
Jan-87,550213.3623,544000
Feb-87,394786.8935,508000
Mar-87,683798.9441,1090000
Apr-87,141675.4238,42900
May-87,35877.98373,1150
Jun-87,48237.39528,2750
Jul-87,41020.19897,2290
Aug-87,13305.45591,668
Sep-87,10394.9876,468
Oct-87,9137.149325,100
Nov-87,7761.166916,2130
Dec-87,14922.78288,5370
Jan-88,254701.1697,149000
Feb-88,156559.8045,117000
Mar-88,32240.44169,36200
Apr-88,45486.88934,10900
May-88,13427.09831,506
Jun-88,10826.20462,57
Jul-88,13566.30942,3510
Aug-88,8668.639226,427
Sep-88,225004.4281,20300
Oct-88,31796.96761,5080
Nov-88,118432.72,42200
Dec-88,41129.10677,22200
Jan-89,435391.194,109000
Feb-89,91190.4891,72700
Mar-89,917362.6759,1390000
Apr-89,914409.4265,236000
May-89,74797.50764,8320
Jun-89,2092851.191,40200
Jul-89,1396128.43,36500
Aug-89,45950.0672,1310
Sep-89,42999.22858,14000
Oct-89,284415.3814,1420000
Nov-89,184002.6274,41300
